household_key,age_desc,marital_status_code,income_desc,homeowner_desc,hh_comp_desc,household_size_desc,kid_category_desc
104,35-44,A,35-49K,Homeowner,2 Adults Kids,5+,3+
105,25-34,B,Under 15K,Homeowner,1 Adult Kids,3,2
109,25-34,A,15-24K,Homeowner,Single Female,2,None/Unknown
110,25-34,U,35-49K,Homeowner,Single Female,1,None/Unknown
113,35-44,A,125-149K,Homeowner,2 Adults Kids,4,2
114,25-34,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
117,65+,B,35-49K,Probable Owner,2 Adults No Kids,2,None/Unknown
118,45-54,B,35-49K,Homeowner,Single Female,1,None/Unknown
119,45-54,U,125-149K,Unknown,Single Male,1,None/Unknown
121,45-54,U,25-34K,Unknown,2 Adults Kids,3,1
123,45-54,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
127,45-54,U,25-34K,Unknown,Single Female,1,None/Unknown
131,45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown
133,45-54,A,Under 15K,Homeowner,Single Male,2,None/Unknown
134,55-64,A,25-34K,Homeowner,Single Female,2,None/Unknown
136,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown
139,35-44,B,75-99K,Homeowner,Single Male,1,None/Unknown
149,45-54,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
155,35-44,B,50-74K,Homeowner,2 Adults Kids,3,1
157,19-24,U,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown
158,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown
159,45-54,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown
161,19-24,A,75-99K,Unknown,2 Adults Kids,3,1
164,45-54,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown
165,55-64,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
166,25-34,A,50-74K,Homeowner,2 Adults Kids,3,1
170,25-34,A,100-124K,Homeowner,2 Adults Kids,4,2
178,25-34,A,25-34K,Homeowner,1 Adult Kids,5+,3+
184,45-54,U,25-34K,Unknown,Single Male,1,None/Unknown
192,45-54,A,35-49K,Homeowner,Single Male,2,None/Unknown
193,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
198,35-44,A,Under 15K,Homeowner,2 Adults Kids,3,1
201,45-54,A,15-24K,Homeowner,2 Adults Kids,5+,3+
208,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
209,45-54,U,25-34K,Homeowner,2 Adults Kids,3,1
211,65+,A,35-49K,Homeowner,Single Female,2,None/Unknown
212,35-44,U,Under 15K,Unknown,Single Female,1,None/Unknown
214,55-64,B,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown
216,35-44,U,50-74K,Homeowner,Unknown,1,None/Unknown
218,45-54,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown
219,55-64,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown
220,45-54,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
221,65+,U,15-24K,Unknown,Unknown,1,None/Unknown
222,35-44,A,35-49K,Unknown,2 Adults No Kids,2,None/Unknown
230,25-34,U,25-34K,Unknown,Single Female,1,None/Unknown
232,35-44,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown
235,35-44,A,250K+,Homeowner,2 Adults Kids,5+,3+
239,45-54,U,50-74K,Renter,Unknown,1,None/Unknown
242,45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+
243,65+,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
248,35-44,A,125-149K,Homeowner,2 Adults Kids,4,2
249,35-44,A,Under 15K,Renter,Unknown,3,1
250,45-54,A,75-99K,Homeowner,1 Adult Kids,4,2
253,45-54,U,Under 15K,Unknown,Single Female,1,None/Unknown
256,25-34,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
257,25-34,U,25-34K,Unknown,1 Adult Kids,3,2
263,45-54,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown
264,45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
276,35-44,U,35-49K,Unknown,Single Male,1,None/Unknown
281,35-44,B,50-74K,Homeowner,Single Female,1,None/Unknown
282,45-54,U,35-49K,Unknown,Single Female,1,None/Unknown
283,25-34,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
289,45-54,B,100-124K,Homeowner,Single Male,1,None/Unknown
290,25-34,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown
294,25-34,A,50-74K,Homeowner,2 Adults Kids,4,2
300,55-64,A,Under 15K,Unknown,Single Female,2,None/Unknown
301,35-44,A,35-49K,Homeowner,2 Adults Kids,4,2
302,45-54,U,35-49K,Homeowner,2 Adults Kids,3,1
304,25-34,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown
306,19-24,U,35-49K,Homeowner,2 Adults Kids,4,2
309,25-34,A,75-99K,Homeowner,Single Male,2,None/Unknown
314,45-54,U,75-99K,Homeowner,2 Adults Kids,3,1
317,45-54,A,75-99K,Homeowner,Single Male,2,None/Unknown
319,45-54,U,35-49K,Homeowner,1 Adult Kids,4,3+
321,45-54,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown
324,45-54,U,50-74K,Unknown,Single Female,1,None/Unknown
325,35-44,A,75-99K,Homeowner,2 Adults Kids,4,2
329,25-34,U,75-99K,Unknown,Single Female,1,None/Unknown
332,35-44,A,125-149K,Homeowner,2 Adults Kids,5+,3+
334,45-54,A,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown
346,65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
350,45-54,A,50-74K,Homeowner,1 Adult Kids,4,2
351,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown
353,45-54,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown
354,25-34,A,35-49K,Homeowner,2 Adults Kids,5+,3+
358,35-44,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
361,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown
362,65+,U,50-74K,Unknown,Single Male,1,None/Unknown
367,55-64,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
370,65+,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown
371,35-44,A,75-99K,Homeowner,2 Adults Kids,3,1
377,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
378,55-64,A,50-74K,Homeowner,Single Female,2,None/Unknown
381,25-34,B,35-49K,Homeowner,1 Adult Kids,2,1
383,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown
385,25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+
386,35-44,B,25-34K,Probable Owner,Single Female,1,None/Unknown
387,25-34,B,50-74K,Homeowner,Single Female,1,None/Unknown
389,35-44,U,150-174K,Probable Owner,Single Female,1,None/Unknown
390,45-54,B,25-34K,Renter,Single Female,1,None/Unknown
391,65+,B,25-34K,Unknown,Single Female,1,None/Unknown
392,35-44,A,250K+,Homeowner,2 Adults Kids,3,1
395,35-44,U,25-34K,Unknown,Single Male,1,None/Unknown
400,35-44,A,150-174K,Homeowner,2 Adults Kids,3,1
404,25-34,A,25-34K,Unknown,Unknown,2,None/Unknown
409,19-24,B,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown
410,55-64,A,35-49K,Homeowner,2 Adults Kids,5+,3+
411,35-44,U,Under 15K,Unknown,2 Adults No Kids,2,None/Unknown
412,65+,A,15-24K,Homeowner,Single Female,2,None/Unknown
413,45-54,U,100-124K,Unknown,Unknown,1,None/Unknown
417,45-54,A,35-49K,Unknown,Single Female,2,None/Unknown
418,35-44,U,35-49K,Unknown,2 Adults Kids,3,1
426,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
428,19-24,U,50-74K,Probable Owner,2 Adults No Kids,2,None/Unknown
432,19-24,U,25-34K,Unknown,Single Female,1,None/Unknown
434,35-44,A,15-24K,Homeowner,2 Adults Kids,3,1
437,25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+
438,35-44,A,50-74K,Probable Owner,2 Adults No Kids,2,None/Unknown
441,45-54,B,50-74K,Homeowner,Single Female,1,None/Unknown
442,25-34,U,15-24K,Unknown,1 Adult Kids,2,1
443,45-54,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown
451,25-34,B,Under 15K,Renter,2 Adults No Kids,2,None/Unknown
454,55-64,U,35-49K,Unknown,Single Male,1,None/Unknown
456,19-24,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
458,55-64,A,35-49K,Homeowner,Single Female,2,None/Unknown
460,65+,B,25-34K,Homeowner,Single Female,1,None/Unknown
462,65+,U,100-124K,Unknown,Single Male,1,None/Unknown
464,65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
469,45-54,U,75-99K,Probable Owner,Single Female,1,None/Unknown
473,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown
483,45-54,U,35-49K,Unknown,Single Female,1,None/Unknown
484,25-34,U,15-24K,Unknown,2 Adults No Kids,2,None/Unknown
485,35-44,U,25-34K,Homeowner,Single Male,1,None/Unknown
489,55-64,U,150-174K,Unknown,Single Female,1,None/Unknown
490,35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+
491,45-54,A,75-99K,Unknown,Single Female,2,None/Unknown
492,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
493,55-64,U,50-74K,Unknown,Unknown,1,None/Unknown
510,35-44,A,250K+,Homeowner,2 Adults Kids,3,1
513,45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
518,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
523,65+,B,35-49K,Homeowner,Single Male,1,None/Unknown
526,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown
527,45-54,U,50-74K,Homeowner,Single Female,1,None/Unknown
534,45-54,U,35-49K,Unknown,Single Male,1,None/Unknown
540,25-34,B,50-74K,Homeowner,Single Female,1,None/Unknown
542,25-34,U,35-49K,Unknown,Single Female,1,None/Unknown
543,35-44,A,35-49K,Probable Owner,1 Adult Kids,3,1
546,45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown
548,35-44,B,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
553,45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
560,19-24,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown
567,19-24,U,25-34K,Unknown,Single Male,1,None/Unknown
569,35-44,A,250K+,Homeowner,2 Adults Kids,3,1
574,35-44,A,75-99K,Homeowner,2 Adults Kids,3,1
575,35-44,U,50-74K,Unknown,Single Female,1,None/Unknown
576,55-64,A,35-49K,Homeowner,Single Male,2,None/Unknown
578,25-34,U,50-74K,Unknown,Single Male,1,None/Unknown
582,45-54,A,125-149K,Homeowner,Unknown,3,1
583,35-44,B,15-24K,Unknown,Single Female,1,None/Unknown
586,19-24,A,35-49K,Renter,2 Adults Kids,3,1
588,35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+
593,35-44,U,35-49K,Unknown,Single Male,1,None/Unknown
595,25-34,U,35-49K,Unknown,2 Adults Kids,3,1
596,45-54,A,15-24K,Homeowner,1 Adult Kids,3,1
597,19-24,U,Under 15K,Unknown,1 Adult Kids,2,1
598,35-44,B,25-34K,Unknown,Single Female,1,None/Unknown
601,35-44,A,100-124K,Homeowner,2 Adults Kids,4,2
605,25-34,A,75-99K,Homeowner,2 Adults Kids,4,2
606,45-54,U,35-49K,Probable Renter,Unknown,1,None/Unknown
607,45-54,U,125-149K,Unknown,Unknown,1,None/Unknown
608,25-34,B,25-34K,Renter,1 Adult Kids,5+,3+
609,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown
614,35-44,A,15-24K,Unknown,2 Adults Kids,4,2
621,45-54,U,35-49K,Unknown,Single Male,1,None/Unknown
622,35-44,U,15-24K,Unknown,Single Female,1,None/Unknown
623,45-54,A,35-49K,Homeowner,2 Adults Kids,3,1
624,45-54,U,50-74K,Unknown,Unknown,1,None/Unknown
630,35-44,A,35-49K,Homeowner,2 Adults Kids,3,1
631,65+,A,100-124K,Homeowner,2 Adults Kids,3,1
644,65+,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
647,35-44,A,50-74K,Renter,2 Adults Kids,4,2
660,55-64,A,50-74K,Homeowner,Unknown,2,None/Unknown
661,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown
670,55-64,A,35-49K,Unknown,2 Adults Kids,3,1
671,35-44,U,35-49K,Homeowner,Single Female,1,None/Unknown
672,35-44,U,25-34K,Unknown,2 Adults No Kids,2,None/Unknown
675,35-44,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown
680,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown
682,65+,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown
685,35-44,A,Under 15K,Unknown,Single Female,2,None/Unknown
688,35-44,A,125-149K,Homeowner,2 Adults Kids,3,1
690,65+,B,15-24K,Homeowner,Single Female,1,None/Unknown
692,65+,U,35-49K,Homeowner,Single Female,1,None/Unknown
693,45-54,U,15-24K,Unknown,2 Adults No Kids,2,None/Unknown
695,35-44,B,35-49K,Unknown,1 Adult Kids,3,2
696,35-44,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
699,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
706,45-54,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
707,25-34,A,100-124K,Homeowner,2 Adults Kids,5+,3+
708,35-44,A,100-124K,Homeowner,2 Adults Kids,4,2
712,65+,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
714,55-64,U,15-24K,Unknown,2 Adults Kids,3,1
715,55-64,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown
716,45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+
718,45-54,A,25-34K,Homeowner,2 Adults Kids,5+,3+
722,35-44,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
725,45-54,U,25-34K,Unknown,Single Female,1,None/Unknown
731,45-54,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
732,55-64,A,75-99K,Homeowner,2 Adults Kids,4,2
733,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
740,45-54,A,175-199K,Homeowner,Single Female,2,None/Unknown
741,65+,U,50-74K,Homeowner,2 Adults Kids,3,1
742,35-44,A,15-24K,Renter,1 Adult Kids,4,2
748,45-54,B,Under 15K,Homeowner,2 Adults Kids,3,1
752,35-44,A,75-99K,Renter,Single Female,2,None/Unknown
753,45-54,A,75-99K,Homeowner,2 Adults Kids,4,2
755,35-44,U,50-74K,Homeowner,Unknown,1,None/Unknown
761,25-34,A,125-149K,Homeowner,1 Adult Kids,5+,3+
762,35-44,A,125-149K,Renter,Single Female,2,None/Unknown
764,35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+
766,45-54,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown
768,35-44,A,50-74K,Renter,Single Female,2,None/Unknown
770,25-34,A,50-74K,Homeowner,2 Adults Kids,5+,3+
771,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown
779,65+,U,125-149K,Homeowner,2 Adults Kids,3,1
784,45-54,A,100-124K,Homeowner,Single Female,2,None/Unknown
785,65+,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
786,19-24,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
787,25-34,B,25-34K,Homeowner,Single Male,1,None/Unknown
788,25-34,U,Under 15K,Unknown,1 Adult Kids,2,1
790,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown
797,25-34,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
800,25-34,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
802,65+,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
803,25-34,U,75-99K,Unknown,2 Adults No Kids,2,None/Unknown
806,35-44,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
808,45-54,U,75-99K,Homeowner,2 Adults Kids,3,1
816,25-34,U,50-74K,Unknown,Single Female,1,None/Unknown
817,35-44,A,150-174K,Homeowner,2 Adults Kids,3,1
823,35-44,A,50-74K,Homeowner,2 Adults Kids,3,1
825,45-54,A,175-199K,Homeowner,2 Adults No Kids,2,None/Unknown
831,45-54,B,50-74K,Homeowner,1 Adult Kids,3,2
840,35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+
844,45-54,A,200-249K,Homeowner,2 Adults No Kids,2,None/Unknown
845,19-24,B,50-74K,Homeowner,Single Female,1,None/Unknown
852,25-34,U,35-49K,Unknown,2 Adults Kids,4,2
853,25-34,B,175-199K,Unknown,Single Female,1,None/Unknown
856,55-64,B,35-49K,Homeowner,Single Female,1,None/Unknown
857,65+,A,35-49K,Homeowner,1 Adult Kids,3,1
859,25-34,U,50-74K,Unknown,Single Female,1,None/Unknown
863,45-54,U,15-24K,Unknown,Unknown,1,None/Unknown
864,35-44,U,15-24K,Homeowner,Single Female,1,None/Unknown
865,35-44,A,75-99K,Homeowner,2 Adults Kids,5+,3+
866,45-54,U,15-24K,Unknown,1 Adult Kids,2,1
867,45-54,U,75-99K,Homeowner,Unknown,1,None/Unknown
868,65+,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
871,35-44,A,200-249K,Homeowner,2 Adults Kids,3,1
875,25-34,U,25-34K,Unknown,2 Adults Kids,3,1
878,25-34,U,35-49K,Unknown,1 Adult Kids,3,2
879,35-44,B,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
882,45-54,U,50-74K,Unknown,2 Adults No Kids,2,None/Unknown
883,35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
886,35-44,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown
888,25-34,U,150-174K,Homeowner,2 Adults Kids,3,1
889,25-34,A,50-74K,Homeowner,2 Adults Kids,4,2
895,45-54,U,150-174K,Unknown,Single Male,1,None/Unknown
898,55-64,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown
900,35-44,A,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
903,35-44,U,35-49K,Unknown,Single Male,1,None/Unknown
906,55-64,A,Under 15K,Homeowner,Single Female,2,None/Unknown
908,45-54,A,100-124K,Probable Owner,2 Adults Kids,3,1
911,25-34,A,125-149K,Homeowner,2 Adults No Kids,2,None/Unknown
914,45-54,B,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown
915,45-54,U,15-24K,Unknown,Single Female,1,None/Unknown
920,45-54,A,35-49K,Homeowner,2 Adults Kids,5+,3+
922,45-54,U,35-49K,Unknown,Unknown,1,None/Unknown
926,35-44,U,Under 15K,Homeowner,2 Adults No Kids,2,None/Unknown
929,45-54,B,25-34K,Renter,1 Adult Kids,2,1
932,19-24,U,15-24K,Unknown,2 Adults No Kids,2,None/Unknown
934,45-54,U,Under 15K,Unknown,Single Female,1,None/Unknown
939,45-54,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
941,19-24,A,200-249K,Unknown,2 Adults No Kids,2,None/Unknown
946,19-24,U,Under 15K,Unknown,Single Female,1,None/Unknown
947,65+,B,35-49K,Homeowner,Single Male,1,None/Unknown
949,25-34,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
955,19-24,U,Under 15K,Unknown,Single Female,1,None/Unknown
956,45-54,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
960,35-44,A,125-149K,Homeowner,2 Adults Kids,5+,3+
968,35-44,B,35-49K,Renter,1 Adult Kids,2,1
971,25-34,A,35-49K,Homeowner,2 Adults Kids,3,1
973,35-44,A,50-74K,Homeowner,2 Adults Kids,4,2
976,25-34,A,200-249K,Homeowner,2 Adults Kids,5+,3+
979,35-44,B,35-49K,Homeowner,1 Adult Kids,2,1
981,45-54,A,25-34K,Homeowner,Single Female,2,None/Unknown
982,45-54,U,35-49K,Unknown,2 Adults Kids,4,2
983,45-54,A,35-49K,Homeowner,2 Adults Kids,3,1
986,25-34,U,35-49K,Unknown,Single Male,1,None/Unknown
992,45-54,A,35-49K,Homeowner,2 Adults Kids,3,1
993,55-64,A,50-74K,Homeowner,1 Adult Kids,5+,3+
996,55-64,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown
997,45-54,U,75-99K,Homeowner,Single Male,1,None/Unknown
1001,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown
1003,35-44,U,25-34K,Unknown,Single Female,1,None/Unknown
1004,25-34,U,15-24K,Unknown,Single Male,1,None/Unknown
1012,35-44,A,35-49K,Unknown,Unknown,5+,3+
1014,45-54,A,15-24K,Unknown,2 Adults Kids,4,2
1015,45-54,U,50-74K,Homeowner,Unknown,1,None/Unknown
1018,45-54,A,35-49K,Homeowner,2 Adults Kids,5+,3+
1020,45-54,A,25-34K,Homeowner,2 Adults No Kids,2,None/Unknown
1021,35-44,A,50-74K,Homeowner,2 Adults Kids,5+,3+
1024,25-34,A,Under 15K,Homeowner,2 Adults Kids,4,2
1031,35-44,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
1038,55-64,U,Under 15K,Probable Renter,Single Male,1,None/Unknown
1040,25-34,B,100-124K,Unknown,Single Male,1,None/Unknown
1041,25-34,U,35-49K,Unknown,Single Male,1,None/Unknown
1042,25-34,U,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
1045,25-34,A,Under 15K,Homeowner,Single Male,2,None/Unknown
1053,55-64,A,100-124K,Homeowner,2 Adults No Kids,2,None/Unknown
1057,35-44,U,50-74K,Unknown,Single Male,1,None/Unknown
1060,35-44,B,35-49K,Renter,2 Adults No Kids,2,None/Unknown
1062,65+,U,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown
1066,35-44,U,25-34K,Unknown,2 Adults No Kids,2,None/Unknown
1069,25-34,U,35-49K,Unknown,2 Adults No Kids,2,None/Unknown
1070,35-44,U,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
1074,45-54,A,35-49K,Homeowner,2 Adults Kids,4,2
1076,25-34,B,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
1081,55-64,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
1082,45-54,U,35-49K,Unknown,Single Male,1,None/Unknown
1084,25-34,U,35-49K,Unknown,2 Adults Kids,3,1
1091,45-54,A,75-99K,Homeowner,2 Adults No Kids,2,None/Unknown
1094,45-54,A,75-99K,Homeowner,2 Adults Kids,5+,3+
1103,35-44,A,50-74K,Homeowner,2 Adults Kids,3,1
1113,45-54,A,50-74K,Homeowner,2 Adults Kids,3,1
1120,35-44,B,Under 15K,Renter,2 Adults Kids,4,2
1123,55-64,A,15-24K,Unknown,Single Female,2,None/Unknown
1128,25-34,U,75-99K,Unknown,2 Adults Kids,3,1
1130,55-64,U,25-34K,Renter,2 Adults Kids,3,1
1131,45-54,B,50-74K,Homeowner,2 Adults Kids,3,1
1135,45-54,U,50-74K,Unknown,Unknown,2,1
1137,65+,B,35-49K,Homeowner,Single Male,1,None/Unknown
1138,35-44,U,15-24K,Unknown,2 Adults No Kids,2,None/Unknown
1142,45-54,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
1146,35-44,B,35-49K,Homeowner,1 Adult Kids,4,3+
1147,19-24,U,25-34K,Unknown,2 Adults No Kids,2,None/Unknown
1151,45-54,U,Under 15K,Probable Renter,Single Male,1,None/Unknown
1154,45-54,A,35-49K,Homeowner,Unknown,2,None/Unknown
1158,45-54,U,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown
1159,45-54,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown
1160,65+,U,35-49K,Homeowner,Single Female,1,None/Unknown
1163,35-44,U,Under 15K,Unknown,Unknown,1,None/Unknown
1164,25-34,U,15-24K,Unknown,Single Male,1,None/Unknown
1166,45-54,A,125-149K,Homeowner,2 Adults Kids,3,1
1167,35-44,U,50-74K,Homeowner,2 Adults Kids,4,2
1169,19-24,A,15-24K,Homeowner,2 Adults No Kids,2,None/Unknown
1172,25-34,B,50-74K,Unknown,Single Male,1,None/Unknown
1174,25-34,U,Under 15K,Unknown,2 Adults Kids,5+,3+
1175,25-34,A,50-74K,Homeowner,Single Female,2,None/Unknown
1178,45-54,U,15-24K,Unknown,Single Female,1,None/Unknown
1179,35-44,A,50-74K,Homeowner,2 Adults No Kids,2,None/Unknown
1186,45-54,A,50-74K,Homeowner,1 Adult Kids,5+,3+
1188,45-54,U,35-49K,Renter,Unknown,1,None/Unknown
1190,25-34,U,35-49K,Homeowner,2 Adults No Kids,2,None/Unknown
1197,35-44,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown
1218,45-54,A,35-49K,Homeowner,2 Adults Kids,4,2
1219,19-24,A,15-24K,Homeowner,2 Adults Kids,3,1
1222,45-54,U,15-24K,Homeowner,Single Female,1,None/Unknown
1226,25-34,B,35-49K,Homeowner,1 Adult Kids,3,2
1228,45-54,U,100-124K,Unknown,Single Female,1,None/Unknown
1229,55-64,A,150-174K,Homeowner,2 Adults No Kids,2,None/Unknown
